Algorithm,Size,Time(ns),Comparisons,MaxRecursionDepth,Description
MergeSort,100,136600,874,4,Random array
QuickSort,100,538000,605,3,Random array
DeterministicSelect,100,649700,257,5,Median selection
ClosestPair,100,7740100,137,7,Random points
MergeSort,500,449700,6781,6,Random array
QuickSort,500,619200,5365,4,Random array
DeterministicSelect,500,926100,1464,9,Median selection
ClosestPair,500,5504700,571,9,Random points
MergeSort,1000,894800,15462,7,Random array
QuickSort,1000,1019600,11375,5,Random array
DeterministicSelect,1000,1132300,2979,11,Median selection
ClosestPair,1000,3891700,1112,10,Random points
MergeSort,5000,2151800,99422,10,Random array
QuickSort,5000,1133700,68658,7,Random array
DeterministicSelect,5000,1974900,15830,12,Median selection
ClosestPair,5000,15306600,6439,12,Random points
MergeSort,10000,2676500,219234,11,Random array
QuickSort,10000,5101200,155766,8,Random array
DeterministicSelect,10000,7540700,31188,13,Median selection
ClosestPair,10000,57231200,13037,13,Random points
MergeSort,50000,33815400,1328184,13,Random array
QuickSort,50000,12200000,930870,9,Random array
DeterministicSelect,50000,9280300,162780,15,Median selection
MergeSort,100000,21425100,2858155,14,Random array
QuickSort,100000,17160100,1965831,10,Random array
